# Time	forces(pressure, viscous) moment(pressure, viscous)
105	(((6.98672 -0.770318 -8.77705e-19) (0.274122 -0.00243263 -1.82441e-23)) ((0.00978304 0.0887313 3.99753e-08) (3.08944e-05 0.00348135 -9.33329e-05)))
106	(((6.99662 -0.771231 -8.77929e-19) (0.27287 -0.00239766 -1.81233e-23)) ((0.00979463 0.0888571 3.84104e-08) (3.04502e-05 0.00346545 -9.10188e-05)))
107	(((7.00745 -0.77307 -8.78224e-19) (0.271654 -0.00236339 -1.80031e-23)) ((0.00981799 0.0889947 3.67231e-08) (3.00151e-05 0.00345 -8.87402e-05)))
108	(((7.01905 -0.772129 -8.78548e-19) (0.270472 -0.00232965 -1.78838e-23)) ((0.00980603 0.089142 3.50265e-08) (2.95866e-05 0.003435 -8.65003e-05)))
109	(((7.03173 -0.768802 -8.78864e-19) (0.269326 -0.00229634 -1.77657e-23)) ((0.00976379 0.0893029 3.32442e-08) (2.91636e-05 0.00342044 -8.43008e-05)))
110	(((7.04187 -0.76809 -8.79146e-19) (0.268214 -0.00226351 -1.76488e-23)) ((0.00975474 0.0894317 3.24169e-08) (2.87466e-05 0.00340632 -8.21341e-05)))
111	(((7.05086 -0.769352 -8.79397e-19) (0.267137 -0.00223163 -1.75332e-23)) ((0.00977077 0.089546 3.13037e-08) (2.83417e-05 0.00339264 -7.99892e-05)))
112	(((7.06027 -0.77085 -8.79649e-19) (0.266094 -0.00220064 -1.74191e-23)) ((0.0097898 0.0896654 2.96442e-08) (2.79481e-05 0.0033794 -7.787e-05)))
113	(((7.07044 -0.770827 -8.7991e-19) (0.265086 -0.00217024 -1.73066e-23)) ((0.0097895 0.0897945 2.77673e-08) (2.7562e-05 0.00336659 -7.57845e-05)))
114	(((7.08006 -0.768401 -8.80201e-19) (0.264112 -0.00214023 -1.71958e-23)) ((0.00975869 0.0899168 2.61215e-08) (2.71809e-05 0.00335422 -7.37352e-05)))
115	(((7.08767 -0.765645 -8.80498e-19) (0.263171 -0.00211065 -1.70863e-23)) ((0.00972369 0.0900134 2.48215e-08) (2.68052e-05 0.00334227 -7.17188e-05)))
116	(((7.09174 -0.766826 -8.80808e-19) (0.262264 -0.00208178 -1.69782e-23)) ((0.0097387 0.0900651 2.42128e-08) (2.64386e-05 0.00333076 -6.9727e-05)))
117	(((7.09843 -0.768612 -8.81072e-19) (0.261391 -0.00205382 -1.68718e-23)) ((0.00976137 0.0901501 2.24412e-08) (2.60836e-05 0.00331966 -6.77547e-05)))
118	(((7.10607 -0.769676 -8.81313e-19) (0.260551 -0.00202637 -1.67679e-23)) ((0.00977489 0.0902471 2.07027e-08) (2.57349e-05 0.003309 -6.58161e-05)))
119	(((7.11398 -0.767312 -8.81548e-19) (0.259745 -0.0019994 -1.66663e-23)) ((0.00974486 0.0903476 1.92155e-08) (2.53924e-05 0.00329876 -6.39078e-05)))
120	(((7.12174 -0.764247 -8.81782e-19) (0.258972 -0.00197291 -1.65668e-23)) ((0.00970594 0.0904461 1.78322e-08) (2.50559e-05 0.00328894 -6.20256e-05)))
121	(((7.12797 -0.762701 -8.82018e-19) (0.258232 -0.00194687 -1.64692e-23)) ((0.0096863 0.0905252 1.64992e-08) (2.47253e-05 0.00327954 -6.01677e-05)))
122	(((7.12999 -0.76382 -8.82271e-19) (0.257525 -0.00192145 -1.63733e-23)) ((0.00970051 0.0905509 1.57459e-08) (2.44024e-05 0.00327057 -5.83305e-05)))
123	(((7.13093 -0.765516 -8.82523e-19) (0.256851 -0.00189684 -1.62794e-23)) ((0.00972206 0.0905628 1.44362e-08) (2.40898e-05 0.00326201 -5.65076e-05)))
124	(((7.13406 -0.764699 -8.82739e-19) (0.25621 -0.0018727 -1.61882e-23)) ((0.00971168 0.0906025 1.22534e-08) (2.37833e-05 0.00325386 -5.47119e-05)))
125	(((7.13718 -0.762834 -8.82939e-19) (0.255601 -0.00184871 -1.61e-23)) ((0.00968799 0.0906422 1.06703e-08) (2.34786e-05 0.00324614 -5.29525e-05)))
126	(((7.14081 -0.760723 -8.83124e-19) (0.255026 -0.00182507 -1.60144e-23)) ((0.00966119 0.0906883 9.4411e-09) (2.31784e-05 0.00323883 -5.12204e-05)))
127	(((7.14196 -0.760433 -8.8333e-19) (0.254483 -0.00180198 -1.59312e-23)) ((0.0096575 0.0907028 8.8727e-09) (2.28851e-05 0.00323193 -4.95079e-05)))
128	(((7.14225 -0.761036 -8.83519e-19) (0.253972 -0.00177967 -1.58501e-23)) ((0.00966515 0.0907066 7.71922e-09) (2.26018e-05 0.00322544 -4.78054e-05)))
129	(((7.14338 -0.76038 -8.83662e-19) (0.253494 -0.00175782 -1.57715e-23)) ((0.00965682 0.0907209 5.56638e-09) (2.23243e-05 0.00321937 -4.61243e-05)))
130	(((7.14206 -0.758182 -8.83806e-19) (0.253048 -0.00173609 -1.56958e-23)) ((0.00962891 0.0907042 3.90481e-09) (2.20483e-05 0.0032137 -4.44757e-05)))
131	(((7.13633 -0.756326 -8.83996e-19) (0.252634 -0.00171473 -1.56229e-23)) ((0.00960535 0.0906313 3.35398e-09) (2.17771e-05 0.00320845 -4.28493e-05)))
132	(((7.12973 -0.755688 -8.84175e-19) (0.252252 -0.00169406 -1.55528e-23)) ((0.00959724 0.0905476 2.49897e-09) (2.15145e-05 0.0032036 -4.12332e-05)))
133	(((7.12349 -0.756326 -8.84322e-19) (0.251901 -0.00167393 -1.54856e-23)) ((0.00960535 0.0904683 1.24937e-09) (2.12589e-05 0.00319915 -3.96304e-05)))
134	(((7.11563 -0.756656 -8.8439e-19) (0.251583 -0.00165425 -1.54212e-23)) ((0.00960954 0.0903686 8.53477e-12) (2.1009e-05 0.0031951 -3.80473e-05)))
135	(((7.11334 -0.755791 -8.84502e-19) (0.251295 -0.00163486 -1.53594e-23)) ((0.00959855 0.0903394 -2.03957e-09) (2.07627e-05 0.00319145 -3.64866e-05)))
136	(((7.10968 -0.751125 -8.84658e-19) (0.25104 -0.00161532 -1.53012e-23)) ((0.00953929 0.0902929 -3.51318e-09) (2.05145e-05 0.00318821 -3.49642e-05)))
137	(((7.1006 -0.746339 -8.84785e-19) (0.250817 -0.0015959 -1.52458e-23)) ((0.00947851 0.0901776 -4.46799e-09) (2.02679e-05 0.00318537 -3.3466e-05)))
138	(((7.08538 -0.745414 -8.84856e-19) (0.250624 -0.00157707 -1.51929e-23)) ((0.00946675 0.0899843 -5.02061e-09) (2.00288e-05 0.00318292 -3.19752e-05)))
139	(((7.06411 -0.750007 -8.84874e-19) (0.250462 -0.00155927 -1.51424e-23)) ((0.00952508 0.0897142 -4.95342e-09) (1.98027e-05 0.00318086 -3.04783e-05)))
140	(((7.0476 -0.751315 -8.84924e-19) (0.25033 -0.00154224 -1.50949e-23)) ((0.0095417 0.0895045 -6.93561e-09) (1.95865e-05 0.00317919 -2.8984e-05)))
